Page (album),ID,Nom,Section,Type,Groupe,Code,Drapeau
20,QAT17,Edmilson Junior,Qatar,Classique,B,QAT,https://flagcdn.com/w160/qa.png
20,QAT18,Akram Hassan Afif,Qatar,Classique,B,QAT,https://flagcdn.com/w160/qa.png
20,QAT19,Ahmed Al Ganehi,Qatar,Classique,B,QAT,https://flagcdn.com/w160/qa.png
20,QAT20,Almoez Ali,Qatar,Classique,B,QAT,https://flagcdn.com/w160/qa.png
22,SUI1,Écusson,Suisse,Spécial,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI2,Gregor Kobel,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI3,Yvon Mvogo,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI4,Manuel Akanji,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI5,Ricardo Rodriguez,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI6,Nico Elvedi,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI7,Aurèle Amenda,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI8,Silvan Widmer,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI9,Granit Xhaka,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI10,Denis Zakaria,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI11,Remo Freuler,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI12,Fabian Rieder,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI13,Photo d'équipe,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI14,Ardon Jashari,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI15,Johan Manzambi,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI16,Michel Aebischer,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI17,Breel Embolo,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI18,Ruben Vargas,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI19,Dan Ndoye,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
22,SUI20,Zeki Amdouni,Suisse,Classique,B,SUI,https://flagcdn.com/w160/ch.png
24,BRA1,Écusson,Brésil,Spécial,C,BRA,https://flagcdn.com/w160/br.png
24,BRA2,Alisson,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA3,Bento,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA4,Marquinhos,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA5,Éder Militão,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA6,Gabriel Magalhães,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA7,Danilo,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA8,Wesley,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA9,Lucas Paquetá,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA10,Casemiro,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA11,Bruno Guimarães,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA12,Luiz Henrique,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA13,Photo d'équipe,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA14,Vinicius Júnior,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA15,Rodrygo,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA16,João Pedro,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA17,Matheus Cunha,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA18,Gabriel Martinelli,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA19,Raphinha,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
24,BRA20,Estévão,Brésil,Classique,C,BRA,https://flagcdn.com/w160/br.png
26,MAR1,Écusson,Maroc,Spécial,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR2,Yassine Bounou,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR3,Munir El Kajoui,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR4,Achraf Hakimi,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR5,Noussair Mazraoui,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR6,Nayef Aguerd,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
26,MAR7,Romain Saïss,Maroc,Classique,C,MAR,https://flagcdn.com/w160/ma.png
